datetime,active_sending_addresses,active_receiving_addresses
2024-11-05 00:06:00.000 UTC,4430,8288
2024-11-05 00:18:00.000 UTC,5728,7632
2024-11-05 00:57:00.000 UTC,4466,9706
2024-11-05 00:58:00.000 UTC,5356,6027
2024-11-05 01:04:00.000 UTC,5177,7503
2024-11-05 01:09:00.000 UTC,5244,8750
2024-11-05 02:07:00.000 UTC,4039,11185
2024-11-05 02:09:00.000 UTC,4692,8009
2024-11-05 02:12:00.000 UTC,5973,7414
2024-11-05 02:13:00.000 UTC,4494,4002
2024-11-05 02:27:00.000 UTC,6048,6268
2024-11-05 02:36:00.000 UTC,3106,6815
2024-11-05 02:47:00.000 UTC,4094,5524
2024-11-05 03:34:00.000 UTC,5330,8685
2024-11-05 03:42:00.000 UTC,3658,12350
2024-11-05 03:53:00.000 UTC,5238,5847
2024-11-05 04:06:00.000 UTC,5601,5995
2024-11-05 04:15:00.000 UTC,5472,5811
2024-11-05 04:35:00.000 UTC,5883,11922
2024-11-05 04:36:00.000 UTC,6045,1426
2024-11-05 04:40:00.000 UTC,2557,1337
2024-11-05 04:49:00.000 UTC,4689,4179
2024-11-05 04:57:00.000 UTC,3079,3739
2024-11-05 05:06:00.000 UTC,3522,3304
2024-11-05 05:13:00.000 UTC,2173,2908
2024-11-05 05:14:00.000 UTC,178,242
2024-11-05 05:15:00.000 UTC,767,876
2024-11-05 05:17:00.000 UTC,813,1102
2024-11-05 05:20:00.000 UTC,893,854
2024-11-05 05:38:00.000 UTC,5274,5873
2024-11-05 05:40:00.000 UTC,228,457
2024-11-05 05:47:00.000 UTC,2612,2811
2024-11-05 06:05:00.000 UTC,6914,6208
2024-11-05 06:13:00.000 UTC,5523,3578
2024-11-05 06:14:00.000 UTC,652,379
2024-11-05 06:32:00.000 UTC,5788,4144
2024-11-05 06:38:00.000 UTC,5268,4294
2024-11-05 06:48:00.000 UTC,5674,3188
2024-11-05 06:51:00.000 UTC,2194,1523
2024-11-05 07:06:00.000 UTC,5920,4568
2024-11-05 07:08:00.000 UTC,1736,1398
2024-11-05 07:09:00.000 UTC,68,139
2024-11-05 07:10:00.000 UTC,548,754
2024-11-05 07:12:00.000 UTC,2151,1600
2024-11-05 07:19:00.000 UTC,4092,2754
2024-11-05 07:20:00.000 UTC,307,419
2024-11-05 07:32:00.000 UTC,5622,3980
2024-11-05 07:52:00.000 UTC,6221,5390
2024-11-05 07:54:00.000 UTC,5782,2687
2024-11-05 07:57:00.000 UTC,4016,1271
2024-11-05 08:09:00.000 UTC,5839,5128
2024-11-05 08:11:00.000 UTC,2852,1288
2024-11-05 08:46:00.000 UTC,6526,5875
2024-11-05 08:58:00.000 UTC,6539,6494
2024-11-05 09:06:00.000 UTC,4752,6952
