datetime,active_sending_addresses,active_receiving_addresses
2024-11-05 00:00:00.000 UTC,780,507
2024-11-05 00:01:00.000 UTC,580,377
2024-11-05 00:02:00.000 UTC,781,418
2024-11-05 00:03:00.000 UTC,499,310
2024-11-05 00:04:00.000 UTC,721,452
2024-11-05 00:05:00.000 UTC,555,384
2024-11-05 00:06:00.000 UTC,619,387
2024-11-05 00:07:00.000 UTC,530,369
2024-11-05 00:08:00.000 UTC,526,340
2024-11-05 00:09:00.000 UTC,674,371
2024-11-05 00:10:00.000 UTC,620,436
2024-11-05 00:11:00.000 UTC,529,406
2024-11-05 00:12:00.000 UTC,584,449
2024-11-05 00:13:00.000 UTC,579,427
2024-11-05 00:14:00.000 UTC,538,355
2024-11-05 00:15:00.000 UTC,641,428
2024-11-05 00:16:00.000 UTC,647,451
2024-11-05 00:17:00.000 UTC,582,412
2024-11-05 00:18:00.000 UTC,637,360
2024-11-05 00:19:00.000 UTC,554,320
2024-11-05 00:20:00.000 UTC,728,478
2024-11-05 00:21:00.000 UTC,773,424
2024-11-05 00:22:00.000 UTC,544,359
2024-11-05 00:23:00.000 UTC,495,372
2024-11-05 00:24:00.000 UTC,671,424
2024-11-05 00:25:00.000 UTC,716,402
2024-11-05 00:26:00.000 UTC,579,383
2024-11-05 00:27:00.000 UTC,655,398
2024-11-05 00:28:00.000 UTC,593,390
2024-11-05 00:29:00.000 UTC,584,366
2024-11-05 00:30:00.000 UTC,690,459
2024-11-05 00:31:00.000 UTC,610,380
2024-11-05 00:32:00.000 UTC,638,344
2024-11-05 00:33:00.000 UTC,695,351
2024-11-05 00:34:00.000 UTC,675,373
2024-11-05 00:35:00.000 UTC,526,376
2024-11-05 00:36:00.000 UTC,516,336
2024-11-05 00:37:00.000 UTC,620,399
2024-11-05 00:38:00.000 UTC,626,380
2024-11-05 00:39:00.000 UTC,505,352
2024-11-05 00:40:00.000 UTC,618,382
2024-11-05 00:41:00.000 UTC,481,352
2024-11-05 00:42:00.000 UTC,589,438
2024-11-05 00:43:00.000 UTC,462,337
2024-11-05 00:44:00.000 UTC,493,376
2024-11-05 00:45:00.000 UTC,582,365
2024-11-05 00:46:00.000 UTC,449,324
2024-11-05 00:47:00.000 UTC,545,394
2024-11-05 00:48:00.000 UTC,490,436
2024-11-05 00:49:00.000 UTC,674,485
2024-11-05 00:50:00.000 UTC,683,485
