datetime,active_sending_addresses,active_receiving_addresses
2024-11-05 00:00:00.000 UTC,20914,12008
2024-11-05 01:00:00.000 UTC,20028,12945
2024-11-05 02:00:00.000 UTC,21410,12831
2024-11-05 03:00:00.000 UTC,20210,12622
2024-11-05 04:00:00.000 UTC,21076,10843
2024-11-05 05:00:00.000 UTC,21940,11727
2024-11-05 06:00:00.000 UTC,20682,12203
2024-11-05 07:00:00.000 UTC,22904,13484
2024-11-05 08:00:00.000 UTC,20679,12135
2024-11-05 09:00:00.000 UTC,19352,11693
2024-11-05 10:00:00.000 UTC,20026,12154
2024-11-05 11:00:00.000 UTC,20262,12071
2024-11-05 12:00:00.000 UTC,20778,12967
2024-11-05 13:00:00.000 UTC,22634,13180
2024-11-05 14:00:00.000 UTC,21854,13402
2024-11-05 15:00:00.000 UTC,22287,14727
2024-11-05 16:00:00.000 UTC,21815,14863
2024-11-05 17:00:00.000 UTC,22219,15330
2024-11-05 18:00:00.000 UTC,22034,15183
2024-11-05 19:00:00.000 UTC,22533,14904
2024-11-05 20:00:00.000 UTC,21759,14267
2024-11-05 21:00:00.000 UTC,21965,13521
2024-11-05 22:00:00.000 UTC,21154,12420
2024-11-05 23:00:00.000 UTC,21026,12049
2024-11-06 00:00:00.000 UTC,19503,11162
2024-11-06 01:00:00.000 UTC,19274,11822
2024-11-06 02:00:00.000 UTC,19209,11961
2024-11-06 03:00:00.000 UTC,20868,12771
2024-11-06 04:00:00.000 UTC,20651,11975
2024-11-06 05:00:00.000 UTC,20077,11555
2024-11-06 06:00:00.000 UTC,20757,12096
2024-11-06 07:00:00.000 UTC,20830,12448
2024-11-06 08:00:00.000 UTC,22205,13587
2024-11-06 09:00:00.000 UTC,22629,13881
2024-11-06 10:00:00.000 UTC,23651,13570
2024-11-06 11:00:00.000 UTC,24277,13929
2024-11-06 12:00:00.000 UTC,23285,14538
2024-11-06 13:00:00.000 UTC,23264,14655
2024-11-06 14:00:00.000 UTC,23364,14682
2024-11-06 15:00:00.000 UTC,23555,15386
2024-11-06 16:00:00.000 UTC,23916,15537
2024-11-06 17:00:00.000 UTC,24013,15976
2024-11-06 18:00:00.000 UTC,23401,15689
2024-11-06 19:00:00.000 UTC,23874,15900
2024-11-06 20:00:00.000 UTC,22425,14658
2024-11-06 21:00:00.000 UTC,22199,14646
2024-11-06 22:00:00.000 UTC,22003,14226
2024-11-06 23:00:00.000 UTC,21681,13689
2024-11-07 00:00:00.000 UTC,21602,12582
2024-11-07 01:00:00.000 UTC,20061,12959
2024-11-07 02:00:00.000 UTC,23296,13455
2024-11-07 03:00:00.000 UTC,21148,12351
2024-11-07 04:00:00.000 UTC,21980,12177
2024-11-07 05:00:00.000 UTC,23242,12640
2024-11-07 06:00:00.000 UTC,23261,13560
2024-11-07 07:00:00.000 UTC,21337,13332
2024-11-07 08:00:00.000 UTC,21508,13619
2024-11-07 09:00:00.000 UTC,27651,13729
2024-11-07 10:00:00.000 UTC,25601,14065
2024-11-07 11:00:00.000 UTC,24956,14368
2024-11-07 12:00:00.000 UTC,25391,14637
2024-11-07 13:00:00.000 UTC,25304,15541
2024-11-07 14:00:00.000 UTC,24194,14684
2024-11-07 15:00:00.000 UTC,24487,15641
2024-11-07 16:00:00.000 UTC,25824,15476
2024-11-07 17:00:00.000 UTC,25286,15529
2024-11-07 18:00:00.000 UTC,23322,14719
2024-11-07 19:00:00.000 UTC,23305,15189
2024-11-07 20:00:00.000 UTC,22508,15270
2024-11-07 21:00:00.000 UTC,23720,15474
2024-11-07 22:00:00.000 UTC,21706,13847
2024-11-07 23:00:00.000 UTC,22596,13634
2024-11-08 00:00:00.000 UTC,23440,13069
2024-11-08 01:00:00.000 UTC,22196,12648
2024-11-08 02:00:00.000 UTC,21388,12144
2024-11-08 03:00:00.000 UTC,23782,13302
2024-11-08 04:00:00.000 UTC,23161,12738
2024-11-08 05:00:00.000 UTC,23606,12209
2024-11-08 06:00:00.000 UTC,22691,13032
2024-11-08 07:00:00.000 UTC,23811,13778
2024-11-08 08:00:00.000 UTC,24031,15222
2024-11-08 09:00:00.000 UTC,24093,14625
2024-11-08 10:00:00.000 UTC,28858,16970
2024-11-08 11:00:00.000 UTC,27516,17133
2024-11-08 12:00:00.000 UTC,28190,17747
2024-11-08 13:00:00.000 UTC,24096,14783
2024-11-08 14:00:00.000 UTC,22905,14505
2024-11-08 15:00:00.000 UTC,24367,15380
2024-11-08 16:00:00.000 UTC,23449,15216
2024-11-08 17:00:00.000 UTC,23221,15161
2024-11-08 18:00:00.000 UTC,23647,15169
2024-11-08 19:00:00.000 UTC,23659,14687
2024-11-08 20:00:00.000 UTC,22746,14247
2024-11-08 21:00:00.000 UTC,22772,14189
2024-11-08 22:00:00.000 UTC,22544,14109
2024-11-08 23:00:00.000 UTC,24956,15099
2024-11-09 00:00:00.000 UTC,22641,12961
2024-11-09 01:00:00.000 UTC,21529,13178
2024-11-09 02:00:00.000 UTC,22369,12829
2024-11-09 03:00:00.000 UTC,23532,12913
2024-11-09 04:00:00.000 UTC,23485,11976
2024-11-09 05:00:00.000 UTC,21311,11587
2024-11-09 06:00:00.000 UTC,20692,12097
2024-11-09 07:00:00.000 UTC,21527,12104
2024-11-09 08:00:00.000 UTC,21455,13286
2024-11-09 09:00:00.000 UTC,21650,12786
2024-11-09 10:00:00.000 UTC,21956,12633
2024-11-09 11:00:00.000 UTC,22212,12973
2024-11-09 12:00:00.000 UTC,22013,13354
2024-11-09 13:00:00.000 UTC,22129,13254
2024-11-09 14:00:00.000 UTC,21764,13538
2024-11-09 15:00:00.000 UTC,22691,14144
2024-11-09 16:00:00.000 UTC,22616,14303
2024-11-09 17:00:00.000 UTC,22581,14144
2024-11-09 18:00:00.000 UTC,22714,14285
2024-11-09 19:00:00.000 UTC,23137,14042
2024-11-09 20:00:00.000 UTC,22529,13504
2024-11-09 21:00:00.000 UTC,21988,13316
2024-11-09 22:00:00.000 UTC,20423,13012
2024-11-09 23:00:00.000 UTC,20855,13365
2024-11-10 00:00:00.000 UTC,21588,12492
2024-11-10 01:00:00.000 UTC,20967,12686
2024-11-10 02:00:00.000 UTC,22697,13095
2024-11-10 03:00:00.000 UTC,20914,11814
2024-11-10 04:00:00.000 UTC,21236,12228
2024-11-10 05:00:00.000 UTC,23211,12276
2024-11-10 06:00:00.000 UTC,20647,11741
2024-11-10 07:00:00.000 UTC,21672,12524
2024-11-10 08:00:00.000 UTC,21771,12569
2024-11-10 09:00:00.000 UTC,22668,13079
2024-11-10 10:00:00.000 UTC,22682,13229
2024-11-10 11:00:00.000 UTC,22678,14202
2024-11-10 12:00:00.000 UTC,22952,14572
2024-11-10 13:00:00.000 UTC,23362,14845
2024-11-10 14:00:00.000 UTC,24461,15235
2024-11-10 15:00:00.000 UTC,24397,15869
2024-11-10 16:00:00.000 UTC,25693,16499
2024-11-10 17:00:00.000 UTC,24750,15881
2024-11-10 18:00:00.000 UTC,24708,16224
2024-11-10 19:00:00.000 UTC,24080,16218
2024-11-10 20:00:00.000 UTC,23721,15418
2024-11-10 21:00:00.000 UTC,22727,15030
2024-11-10 22:00:00.000 UTC,22601,14440
2024-11-10 23:00:00.000 UTC,23467,13919
2024-11-11 00:00:00.000 UTC,23517,12897
2024-11-11 01:00:00.000 UTC,23156,13113
2024-11-11 02:00:00.000 UTC,23650,12776
2024-11-11 03:00:00.000 UTC,21495,12719
2024-11-11 04:00:00.000 UTC,21783,12549
2024-11-11 05:00:00.000 UTC,23067,12446
2024-11-11 06:00:00.000 UTC,23558,12656
2024-11-11 07:00:00.000 UTC,23998,13197
2024-11-11 08:00:00.000 UTC,22842,14025
2024-11-11 09:00:00.000 UTC,23660,14261
2024-11-11 10:00:00.000 UTC,24407,15282
2024-11-11 11:00:00.000 UTC,24339,15269
2024-11-11 12:00:00.000 UTC,24079,15549
2024-11-11 13:00:00.000 UTC,24825,15951
2024-11-11 14:00:00.000 UTC,26440,15597
2024-11-11 15:00:00.000 UTC,25574,17393
2024-11-11 16:00:00.000 UTC,26194,18019
2024-11-11 17:00:00.000 UTC,25673,17598
2024-11-11 18:00:00.000 UTC,25383,16496
2024-11-11 19:00:00.000 UTC,26997,17852
2024-11-11 20:00:00.000 UTC,27522,18069
2024-11-11 21:00:00.000 UTC,26938,17942
2024-11-11 22:00:00.000 UTC,25278,17153
2024-11-11 23:00:00.000 UTC,24685,15664
2024-11-12 00:00:00.000 UTC,25496,14919
2024-11-12 01:00:00.000 UTC,25056,15197
2024-11-12 02:00:00.000 UTC,22542,14259
2024-11-12 03:00:00.000 UTC,23466,14463
2024-11-12 04:00:00.000 UTC,23134,14022
2024-11-12 05:00:00.000 UTC,22935,13585
2024-11-12 06:00:00.000 UTC,22447,13774
2024-11-12 07:00:00.000 UTC,23683,14558
2024-11-12 08:00:00.000 UTC,25352,15795
2024-11-12 09:00:00.000 UTC,24070,15793
2024-11-12 10:00:00.000 UTC,22819,15171
2024-11-12 11:00:00.000 UTC,26071,16814
2024-11-12 12:00:00.000 UTC,25043,16040
2024-11-12 13:00:00.000 UTC,24779,16186
2024-11-12 14:00:00.000 UTC,25887,16765
2024-11-12 15:00:00.000 UTC,24705,16845
2024-11-12 16:00:00.000 UTC,24637,16682
2024-11-12 17:00:00.000 UTC,25026,16308
2024-11-12 18:00:00.000 UTC,24609,16082
2024-11-12 19:00:00.000 UTC,24025,16066
2024-11-12 20:00:00.000 UTC,25503,16581
2024-11-12 21:00:00.000 UTC,24235,16214
2024-11-12 22:00:00.000 UTC,24749,15402
2024-11-12 23:00:00.000 UTC,24387,14386
2024-11-13 00:00:00.000 UTC,23754,13492
2024-11-13 01:00:00.000 UTC,22162,13454
2024-11-13 02:00:00.000 UTC,21577,13380
2024-11-13 03:00:00.000 UTC,21415,13137
2024-11-13 04:00:00.000 UTC,20291,12490
2024-11-13 05:00:00.000 UTC,22258,12626
2024-11-13 06:00:00.000 UTC,21658,13067
2024-11-13 07:00:00.000 UTC,21743,13770
2024-11-13 08:00:00.000 UTC,23417,14243
2024-11-13 09:00:00.000 UTC,23103,14758
2024-11-13 10:00:00.000 UTC,24680,16867
2024-11-13 11:00:00.000 UTC,27440,19836
2024-11-13 12:00:00.000 UTC,24828,16661
2024-11-13 13:00:00.000 UTC,23452,15208
2024-11-13 14:00:00.000 UTC,23447,15843
