datetime,exchange_depositing_count,exchange_withdrawing_count
2024-11-05 00:00:00.000 UTC,1883,6340
2024-11-05 01:00:00.000 UTC,1755,5877
2024-11-05 02:00:00.000 UTC,2085,5846
2024-11-05 03:00:00.000 UTC,1599,5429
2024-11-05 04:00:00.000 UTC,1575,5454
2024-11-05 05:00:00.000 UTC,2028,5491
2024-11-05 06:00:00.000 UTC,1497,5320
2024-11-05 07:00:00.000 UTC,1519,6694
2024-11-05 08:00:00.000 UTC,1384,6448
2024-11-05 09:00:00.000 UTC,1513,6620
2024-11-05 10:00:00.000 UTC,1528,6570
2024-11-05 11:00:00.000 UTC,1547,6877
2024-11-05 12:00:00.000 UTC,1568,7127
2024-11-05 13:00:00.000 UTC,2420,7579
2024-11-05 14:00:00.000 UTC,1990,8080
2024-11-05 15:00:00.000 UTC,2098,9333
2024-11-05 16:00:00.000 UTC,1651,8749
2024-11-05 17:00:00.000 UTC,1934,8668
2024-11-05 18:00:00.000 UTC,2079,8225
2024-11-05 19:00:00.000 UTC,2184,7662
2024-11-05 20:00:00.000 UTC,2551,7976
2024-11-05 21:00:00.000 UTC,3216,7126
2024-11-05 22:00:00.000 UTC,3606,7068
2024-11-05 23:00:00.000 UTC,4070,6112
2024-11-06 00:00:00.000 UTC,2310,6836
2024-11-06 01:00:00.000 UTC,1962,7801
2024-11-06 02:00:00.000 UTC,1848,8259
2024-11-06 03:00:00.000 UTC,2654,9285
2024-11-06 04:00:00.000 UTC,2930,7742
2024-11-06 05:00:00.000 UTC,2316,7691
2024-11-06 06:00:00.000 UTC,2265,8464
2024-11-06 07:00:00.000 UTC,2051,8399
2024-11-06 08:00:00.000 UTC,2932,9373
2024-11-06 09:00:00.000 UTC,2472,8604
2024-11-06 10:00:00.000 UTC,2187,8778
2024-11-06 11:00:00.000 UTC,2605,9077
2024-11-06 12:00:00.000 UTC,2503,9218
2024-11-06 13:00:00.000 UTC,2330,9361
2024-11-06 14:00:00.000 UTC,2634,9681
2024-11-06 15:00:00.000 UTC,2553,10159
2024-11-06 16:00:00.000 UTC,2768,9999
2024-11-06 17:00:00.000 UTC,2530,9161
2024-11-06 18:00:00.000 UTC,2347,8656
2024-11-06 19:00:00.000 UTC,2204,9184
2024-11-06 20:00:00.000 UTC,2373,9218
2024-11-06 21:00:00.000 UTC,2520,9055
2024-11-06 22:00:00.000 UTC,2799,9106
2024-11-06 23:00:00.000 UTC,2723,8292
2024-11-07 00:00:00.000 UTC,2385,7524
2024-11-07 01:00:00.000 UTC,2435,8132
2024-11-07 02:00:00.000 UTC,2586,7417
2024-11-07 03:00:00.000 UTC,3024,7435
2024-11-07 04:00:00.000 UTC,3888,7174
2024-11-07 05:00:00.000 UTC,2500,6690
2024-11-07 06:00:00.000 UTC,2376,7055
2024-11-07 07:00:00.000 UTC,2119,7614
2024-11-07 08:00:00.000 UTC,1975,7381
2024-11-07 09:00:00.000 UTC,1549,8247
2024-11-07 10:00:00.000 UTC,1805,8205
2024-11-07 11:00:00.000 UTC,2018,8170
2024-11-07 12:00:00.000 UTC,1906,8748
2024-11-07 13:00:00.000 UTC,2596,10159
2024-11-07 14:00:00.000 UTC,2130,8841
2024-11-07 15:00:00.000 UTC,2301,9734
2024-11-07 16:00:00.000 UTC,4266,9526
2024-11-07 17:00:00.000 UTC,3823,9244
2024-11-07 18:00:00.000 UTC,3006,8844
2024-11-07 19:00:00.000 UTC,2296,9044
2024-11-07 20:00:00.000 UTC,2556,9001
2024-11-07 21:00:00.000 UTC,3343,9308
2024-11-07 22:00:00.000 UTC,2416,8151
2024-11-07 23:00:00.000 UTC,2794,7646
2024-11-08 00:00:00.000 UTC,3413,7390
2024-11-08 01:00:00.000 UTC,3365,6983
2024-11-08 02:00:00.000 UTC,2699,6617
2024-11-08 03:00:00.000 UTC,3114,6771
2024-11-08 04:00:00.000 UTC,2324,5930
2024-11-08 05:00:00.000 UTC,2097,6275
2024-11-08 06:00:00.000 UTC,1959,6818
2024-11-08 07:00:00.000 UTC,1785,7447
2024-11-08 08:00:00.000 UTC,1898,7505
2024-11-08 09:00:00.000 UTC,1821,6845
2024-11-08 10:00:00.000 UTC,1824,11700
2024-11-08 11:00:00.000 UTC,1985,11464
2024-11-08 12:00:00.000 UTC,1841,12947
2024-11-08 13:00:00.000 UTC,2001,8883
2024-11-08 14:00:00.000 UTC,2141,9248
2024-11-08 15:00:00.000 UTC,2453,9423
2024-11-08 16:00:00.000 UTC,2114,9634
2024-11-08 17:00:00.000 UTC,2352,9120
2024-11-08 18:00:00.000 UTC,2959,8825
2024-11-08 19:00:00.000 UTC,3010,8326
2024-11-08 20:00:00.000 UTC,2922,8546
2024-11-08 21:00:00.000 UTC,3087,8701
2024-11-08 22:00:00.000 UTC,2741,7686
2024-11-08 23:00:00.000 UTC,2927,7584
2024-11-09 00:00:00.000 UTC,2276,7005
2024-11-09 01:00:00.000 UTC,2562,7073
2024-11-09 02:00:00.000 UTC,1979,6510
2024-11-09 03:00:00.000 UTC,2360,6656
2024-11-09 04:00:00.000 UTC,2203,5993
2024-11-09 05:00:00.000 UTC,1851,5925
