datetime,staking_inflow
2024-11-05 00:00:00.000 UTC,384
2024-11-05 01:00:00.000 UTC,63
2024-11-05 02:00:00.000 UTC,10529
2024-11-05 03:00:00.000 UTC,286
2024-11-05 04:00:00.000 UTC,65
2024-11-05 06:00:00.000 UTC,132
2024-11-05 07:00:00.000 UTC,320
2024-11-05 08:00:00.000 UTC,1400
2024-11-05 09:00:00.000 UTC,990
2024-11-05 10:00:00.000 UTC,1630
2024-11-05 11:00:00.000 UTC,6336
2024-11-05 12:00:00.000 UTC,2401
2024-11-05 13:00:00.000 UTC,7008
2024-11-05 14:00:00.000 UTC,384
2024-11-05 15:00:00.000 UTC,3611
2024-11-05 16:00:00.000 UTC,256
2024-11-05 17:00:00.000 UTC,3296
2024-11-05 18:00:00.000 UTC,2081
2024-11-05 19:00:00.000 UTC,349
2024-11-05 20:00:00.000 UTC,703
2024-11-05 21:00:00.000 UTC,482
2024-11-05 22:00:00.000 UTC,3715
2024-11-05 23:00:00.000 UTC,3651
2024-11-06 00:00:00.000 UTC,222
2024-11-06 01:00:00.000 UTC,2336
2024-11-06 02:00:00.000 UTC,128
2024-11-06 03:00:00.000 UTC,32
2024-11-06 04:00:00.000 UTC,128
2024-11-06 05:00:00.000 UTC,160
2024-11-06 06:00:00.000 UTC,128
2024-11-06 07:00:00.000 UTC,448
2024-11-06 08:00:00.000 UTC,1664
2024-11-06 09:00:00.000 UTC,2176
2024-11-06 10:00:00.000 UTC,543
2024-11-06 11:00:00.000 UTC,223
2024-11-06 12:00:00.000 UTC,1760
2024-11-06 13:00:00.000 UTC,2624
2024-11-06 14:00:00.000 UTC,15616
2024-11-06 15:00:00.000 UTC,8644
2024-11-06 16:00:00.000 UTC,32
2024-11-06 17:00:00.000 UTC,992
2024-11-06 18:00:00.000 UTC,381
2024-11-06 19:00:00.000 UTC,384
2024-11-06 20:00:00.000 UTC,128
2024-11-06 21:00:00.000 UTC,226
2024-11-06 22:00:00.000 UTC,6720
2024-11-06 23:00:00.000 UTC,3969
2024-11-07 00:00:00.000 UTC,544
2024-11-07 01:00:00.000 UTC,2976
2024-11-07 02:00:00.000 UTC,896
2024-11-07 03:00:00.000 UTC,5151
2024-11-07 04:00:00.000 UTC,10082
2024-11-07 05:00:00.000 UTC,9504
2024-11-07 06:00:00.000 UTC,9568
2024-11-07 07:00:00.000 UTC,5728
2024-11-07 08:00:00.000 UTC,1760
2024-11-07 09:00:00.000 UTC,4964
2024-11-07 10:00:00.000 UTC,5376
2024-11-07 11:00:00.000 UTC,8768
2024-11-07 12:00:00.000 UTC,12032
2024-11-07 13:00:00.000 UTC,931
2024-11-07 14:00:00.000 UTC,545
2024-11-07 15:00:00.000 UTC,352
2024-11-07 16:00:00.000 UTC,704
2024-11-07 17:00:00.000 UTC,704
2024-11-07 18:00:00.000 UTC,193
2024-11-07 19:00:00.000 UTC,96
2024-11-07 20:00:00.000 UTC,2272
2024-11-07 21:00:00.000 UTC,1055
2024-11-07 22:00:00.000 UTC,9856
2024-11-07 23:00:00.000 UTC,6593
2024-11-08 00:00:00.000 UTC,3267
2024-11-08 01:00:00.000 UTC,3648
2024-11-08 02:00:00.000 UTC,4449
2024-11-08 03:00:00.000 UTC,480
2024-11-08 04:00:00.000 UTC,224
2024-11-08 05:00:00.000 UTC,163
2024-11-08 06:00:00.000 UTC,64
2024-11-08 07:00:00.000 UTC,1408
2024-11-08 08:00:00.000 UTC,1984
2024-11-08 09:00:00.000 UTC,320
2024-11-08 10:00:00.000 UTC,1416
2024-11-08 12:00:00.000 UTC,33
2024-11-08 13:00:00.000 UTC,192
2024-11-08 14:00:00.000 UTC,146
2024-11-08 15:00:00.000 UTC,1726
2024-11-08 16:00:00.000 UTC,5120
2024-11-08 17:00:00.000 UTC,191
2024-11-08 18:00:00.000 UTC,801
2024-11-08 19:00:00.000 UTC,864
2024-11-08 20:00:00.000 UTC,1056
2024-11-08 21:00:00.000 UTC,3490
2024-11-08 22:00:00.000 UTC,12850
2024-11-08 23:00:00.000 UTC,560
2024-11-09 00:00:00.000 UTC,95
2024-11-09 01:00:00.000 UTC,191
2024-11-09 02:00:00.000 UTC,577
2024-11-09 03:00:00.000 UTC,268
2024-11-09 04:00:00.000 UTC,287
2024-11-09 05:00:00.000 UTC,284
2024-11-09 06:00:00.000 UTC,478
2024-11-09 07:00:00.000 UTC,1374
2024-11-09 08:00:00.000 UTC,704
2024-11-09 09:00:00.000 UTC,628
2024-11-09 10:00:00.000 UTC,255
2024-11-09 11:00:00.000 UTC,3840
2024-11-09 12:00:00.000 UTC,576
2024-11-09 13:00:00.000 UTC,32
2024-11-09 14:00:00.000 UTC,859
2024-11-09 15:00:00.000 UTC,254
2024-11-09 16:00:00.000 UTC,290
2024-11-09 17:00:00.000 UTC,2144
2024-11-09 18:00:00.000 UTC,354
2024-11-09 19:00:00.000 UTC,195
2024-11-09 20:00:00.000 UTC,512
2024-11-09 21:00:00.000 UTC,159
2024-11-09 22:00:00.000 UTC,12318
2024-11-09 23:00:00.000 UTC,128
2024-11-10 00:00:00.000 UTC,34
2024-11-10 01:00:00.000 UTC,2336
2024-11-10 02:00:00.000 UTC,193
2024-11-10 03:00:00.000 UTC,832
2024-11-10 04:00:00.000 UTC,548
2024-11-10 05:00:00.000 UTC,1517
2024-11-10 06:00:00.000 UTC,671
2024-11-10 07:00:00.000 UTC,512
2024-11-10 08:00:00.000 UTC,800
2024-11-10 09:00:00.000 UTC,31
2024-11-10 10:00:00.000 UTC,128
2024-11-10 11:00:00.000 UTC,64
2024-11-10 12:00:00.000 UTC,224
2024-11-10 13:00:00.000 UTC,96
2024-11-10 14:00:00.000 UTC,32
2024-11-10 15:00:00.000 UTC,32
2024-11-10 16:00:00.000 UTC,544
2024-11-10 17:00:00.000 UTC,128
2024-11-10 18:00:00.000 UTC,993
2024-11-10 19:00:00.000 UTC,513
2024-11-10 20:00:00.000 UTC,639
2024-11-10 21:00:00.000 UTC,163
2024-11-10 22:00:00.000 UTC,9184
2024-11-10 23:00:00.000 UTC,96
2024-11-11 00:00:00.000 UTC,1344
2024-11-11 01:00:00.000 UTC,127
2024-11-11 03:00:00.000 UTC,3328
2024-11-11 05:00:00.000 UTC,1
2024-11-11 06:00:00.000 UTC,1344
2024-11-11 07:00:00.000 UTC,672
2024-11-11 08:00:00.000 UTC,992
2024-11-11 09:00:00.000 UTC,32
2024-11-11 10:00:00.000 UTC,2880
2024-11-11 11:00:00.000 UTC,128
2024-11-11 12:00:00.000 UTC,3168
2024-11-11 13:00:00.000 UTC,254
2024-11-11 14:00:00.000 UTC,131
2024-11-11 15:00:00.000 UTC,865
2024-11-11 16:00:00.000 UTC,1760
2024-11-11 17:00:00.000 UTC,960
2024-11-11 18:00:00.000 UTC,544
2024-11-11 19:00:00.000 UTC,449
2024-11-11 20:00:00.000 UTC,256
2024-11-11 21:00:00.000 UTC,261
2024-11-11 22:00:00.000 UTC,10272
2024-11-11 23:00:00.000 UTC,224
2024-11-12 00:00:00.000 UTC,96
2024-11-12 01:00:00.000 UTC,3200
2024-11-12 02:00:00.000 UTC,96
2024-11-12 03:00:00.000 UTC,512
2024-11-12 04:00:00.000 UTC,97
2024-11-12 05:00:00.000 UTC,31
2024-11-12 06:00:00.000 UTC,96
2024-11-12 07:00:00.000 UTC,101
2024-11-12 08:00:00.000 UTC,895
2024-11-12 09:00:00.000 UTC,383
2024-11-12 10:00:00.000 UTC,101
2024-11-12 11:00:00.000 UTC,6625
2024-11-12 12:00:00.000 UTC,2287
2024-11-12 13:00:00.000 UTC,32
2024-11-12 14:00:00.000 UTC,257
2024-11-12 15:00:00.000 UTC,3264
2024-11-12 16:00:00.000 UTC,2336
2024-11-12 17:00:00.000 UTC,160
2024-11-12 18:00:00.000 UTC,63
2024-11-12 19:00:00.000 UTC,319
2024-11-12 20:00:00.000 UTC,544
2024-11-12 21:00:00.000 UTC,32
2024-11-12 22:00:00.000 UTC,10368
2024-11-12 23:00:00.000 UTC,64
2024-11-13 00:00:00.000 UTC,96
2024-11-13 01:00:00.000 UTC,96
2024-11-13 02:00:00.000 UTC,96
2024-11-13 03:00:00.000 UTC,64
2024-11-13 04:00:00.000 UTC,192
2024-11-13 05:00:00.000 UTC,64
2024-11-13 06:00:00.000 UTC,384
2024-11-13 07:00:00.000 UTC,6752
2024-11-13 08:00:00.000 UTC,832
2024-11-13 09:00:00.000 UTC,960
2024-11-13 10:00:00.000 UTC,192
2024-11-13 11:00:00.000 UTC,64
2024-11-13 12:00:00.000 UTC,256
2024-11-13 13:00:00.000 UTC,800
2024-11-13 14:00:00.000 UTC,835
2024-11-13 15:00:00.000 UTC,352
2024-11-13 16:00:00.000 UTC,2016
2024-11-13 17:00:00.000 UTC,4192
2024-11-13 18:00:00.000 UTC,1727
2024-11-13 19:00:00.000 UTC,127
2024-11-13 20:00:00.000 UTC,64
2024-11-13 21:00:00.000 UTC,160
2024-11-13 22:00:00.000 UTC,9824
2024-11-13 23:00:00.000 UTC,384
2024-11-14 00:00:00.000 UTC,288
2024-11-14 02:00:00.000 UTC,928
2024-11-14 03:00:00.000 UTC,320
2024-11-14 04:00:00.000 UTC,64
2024-11-14 05:00:00.000 UTC,32
2024-11-14 06:00:00.000 UTC,256
2024-11-14 07:00:00.000 UTC,576
2024-11-14 08:00:00.000 UTC,3392
2024-11-14 09:00:00.000 UTC,3520
2024-11-14 10:00:00.000 UTC,640
2024-11-14 11:00:00.000 UTC,4928
2024-11-14 12:00:00.000 UTC,3616
2024-11-14 13:00:00.000 UTC,3712
2024-11-14 14:00:00.000 UTC,3776
2024-11-14 15:00:00.000 UTC,1472
2024-11-14 16:00:00.000 UTC,193
2024-11-14 17:00:00.000 UTC,288
2024-11-14 18:00:00.000 UTC,2464
2024-11-14 19:00:00.000 UTC,64
2024-11-14 21:00:00.000 UTC,6527
2024-11-14 22:00:00.000 UTC,13856
2024-11-14 23:00:00.000 UTC,1088
2024-11-15 00:00:00.000 UTC,33
2024-11-15 01:00:00.000 UTC,32
2024-11-15 02:00:00.000 UTC,225
