loss,model_A,model_B,T,dm_stat,p_value,mean_diff_A_minus_B,better_model
QLIKE,lstm,egarch,1208,13.570419616319722,0.0,1336922.5678025098,egarch
QLIKE,lstm,xgb,1208,35.32306030173489,0.0,5543391.8323178245,xgb
QLIKE,egarch,xgb,1208,40.12198082426803,0.0,4206469.264515314,xgb
QLIKE,egarch,vanilla_t,1208,-11.730473315480243,0.0,-1142924.1751840655,egarch
QLIKE,xgb,vanilla_t,1208,-36.398931168318185,0.0,-5349393.43969938,xgb
QLIKE,lstm,vanilla_t,1208,2.869157352198085,0.004115669934721344,193998.3926184442,vanilla_t
SE,lstm,xgb,1208,167.97248598674196,0.0,35.314581111650185,xgb
SE,egarch,xgb,1208,167.8841030159752,0.0,35.317850503133734,xgb
SE,xgb,vanilla_t,1208,-167.98628759748212,0.0,-35.31544238103733,xgb
SE,lstm,egarch,1208,-8.213606079089926,2.220446049250313e-16,-0.0032693914835562905,lstm
SE,egarch,vanilla_t,1208,5.717743916513472,1.0794765969990294e-08,0.0024081220964035197,vanilla_t
SE,lstm,vanilla_t,1208,-3.3618940358986293,0.0007740982324988543,-0.0008612693871527709,lstm
